TRT2000,FIRST_FIPS,FIRST_STFI,FIRST_TRAC,Xcord,Ycord
150500,06097,06097150500,1505,-122.53067,38.38550
150601,06097,06097150601,1506.01,-122.61322,38.23764
150602,06097,06097150602,1506.02,-122.60687,38.24405
150603,06097,06097150603,1506.03,-122.61728,38.25482
150605,06097,06097150605,1506.05,-122.64336,38.27303
150606,06097,06097150606,1506.06,-122.54667,38.21853
150701,06097,06097150701,1507.01,-122.62959,38.23350
150702,06097,06097150702,1507.02,-122.62577,38.20112
150800,06097,06097150800,1508,-122.66472,38.20886
150901,06097,06097150901,1509.01,-122.64264,38.24754
150902,06097,06097150902,1509.02,-122.65323,38.24440
151000,06097,06097151000,1510,-122.67989,38.25769
151100,06097,06097151100,1511,-122.75278,38.26445
151201,06097,06097151201,1512.01,-122.70307,38.31731
151203,06097,06097151203,1512.03,-122.69340,38.32221
151204,06097,06097151204,1512.04,-122.70719,38.31838
151301,06097,06097151301,1513.01,-122.70025,38.33414
151305,06097,06097151305,1513.05,-122.70665,38.34341
151306,06097,06097151306,1513.06,-122.69324,38.34717
151307,06097,06097151307,1513.07,-122.69942,38.37035
151308,06097,06097151308,1513.08,-122.69982,38.35621
151309,06097,06097151309,1513.09,-122.63404,38.34412
151310,06097,06097151310,1513.10,-122.68252,38.33930
151311,06097,06097151311,1513.11,-122.67677,38.32594
151401,06097,06097151401,1514.01,-122.68763,38.40834
151402,06097,06097151402,1514.02,-122.70546,38.39769
151502,06097,06097151502,1515.02,-122.65475,38.38963
151503,06097,06097151503,1515.03,-122.62854,38.41235
151504,06097,06097151504,1515.04,-122.66754,38.43600
151600,06097,06097151600,1516,-122.57540,38.44687
151700,06097,06097151700,1517,-122.66532,38.45100
151800,06097,06097151800,1518,-122.69138,38.44269
151900,06097,06097151900,1519,-122.70822,38.43505
152000,06097,06097152000,1520,-122.71310,38.44153
152100,06097,06097152100,1521,-122.72268,38.45916
152201,06097,06097152201,1522.01,-122.71278,38.45689
152202,06097,06097152202,1522.02,-122.67519,38.46696
152203,06097,06097152203,1522.03,-122.70698,38.44822
152300,06097,06097152300,1523,-122.69910,38.46002
152400,06097,06097152400,1524,-122.70719,38.48573
152501,06097,06097152501,1525.01,-122.65669,38.46541
152502,06097,06097152502,1525.02,-122.66395,38.47833
152600,06097,06097152600,1526,-122.63903,38.52242
152701,06097,06097152701,1527.01,-122.74680,38.52873
152702,06097,06097152702,1527.02,-122.79125,38.50427
152801,06097,06097152801,1528.01,-122.75026,38.48279
152802,06097,06097152802,1528.02,-122.73557,38.46504
152901,06097,06097152901,1529.01,-122.79792,38.47184
152903,06097,06097152903,1529.03,-122.74837,38.45733
152904,06097,06097152904,1529.04,-122.76053,38.46121
153001,06097,06097153001,1530.01,-122.73658,38.45083
153002,06097,06097153002,1530.02,-122.73264,38.44102
153003,06097,06097153003,1530.03,-122.73776,38.43392
153005,06097,06097153005,1530.05,-122.80099,38.43352
153006,06097,06097153006,1530.06,-122.75821,38.44328
153101,06097,06097153101,1531.01,-122.73054,38.42440
153102,06097,06097153102,1531.02,-122.72147,38.42003
153200,06097,06097153200,1532,-122.72812,38.38801
153300,06097,06097153300,1533,-122.76706,38.39543
153401,06097,06097153401,1534.01,-122.84227,38.41306
153403,06097,06097153403,1534.03,-122.79970,38.38050
153404,06097,06097153404,1534.04,-122.82712,38.38198
153501,06097,06097153501,1535.01,-122.79443,38.33736
153502,06097,06097153502,1535.02,-122.87379,38.34242
153600,06097,06097153600,1536,-122.88818,38.42065
153703,06097,06097153703,1537.03,-123.00886,38.47408
153704,06097,06097153704,1537.04,-123.00622,38.53102
153705,06097,06097153705,1537.05,-122.90760,38.51065
153706,06097,06097153706,1537.06,-122.90477,38.47097
153801,06097,06097153801,1538.01,-122.84332,38.52898
153802,06097,06097153802,1538.02,-122.73977,38.57789
153803,06097,06097153803,1538.03,-122.79279,38.53723
153901,06097,06097153901,1539.01,-122.82205,38.61285
153902,06097,06097153902,1539.02,-122.86735,38.61267
153903,06097,06097153903,1539.03,-122.85695,38.61908
154000,06097,06097154000,1540,-122.95668,38.61604
154100,06097,06097154100,1541,-122.82230,38.72995
154200,06097,06097154200,1542,-123.08866,38.78423
154301,06097,06097154301,1543.01,-123.21893,38.63229
154302,06097,06097154302,1543.02,-122.98200,38.36588
200201,06055,06055200201,2002.01,-122.29793,38.29171
200202,06055,06055200202,2002.02,-122.28847,38.29513
200203,06055,06055200203,2002.03,-122.28945,38.28645
200300,06055,06055200300,2003,-122.26926,38.28809
200400,06055,06055200400,2004,-122.26757,38.31008
200501,06055,06055200501,2005.01,-122.30127,38.31097
200502,06055,06055200502,2005.02,-122.28896,38.31649
200503,06055,06055200503,2005.03,-122.28694,38.30480
200600,06055,06055200600,2006,-122.30579,38.33367
200701,06055,06055200701,2007.01,-122.31327,38.31050
200702,06055,06055200702,2007.02,-122.32602,38.32714
200703,06055,06055200703,2007.03,-122.32961,38.30942
200801,06055,06055200801,2008.01,-122.32366,38.29444
200802,06055,06055200802,2008.02,-122.30105,38.26175
200900,06055,06055200900,2009,-122.27241,38.27071
201001,06055,06055201001,2010.01,-122.27945,38.20002
201002,06055,06055201002,2010.02,-122.23029,38.22752
201100,06055,06055201100,2011,-122.36835,38.28201
201200,06055,06055201200,2012,-122.35877,38.38159
201300,06055,06055201300,2013,-122.36656,38.39532
201400,06055,06055201400,2014,-122.21985,38.39862
201500,06055,06055201500,2015,-122.46032,38.47214
201600,06055,06055201600,2016,-122.46658,38.50393
201700,06055,06055201700,2017,-122.42275,38.55465
201800,06055,06055201800,2018,-122.28822,38.64171
201900,06055,06055201900,2019,-122.55144,38.62647
202000,06055,06055202000,2020,-122.58240,38.58163
250101,06095,06095250101,2501.01,-122.21671,38.11543
250102,06095,06095250102,2501.02,-122.19266,38.13267
250200,06095,06095250200,2502,-122.20999,38.10429
250300,06095,06095250300,2503,-122.22355,38.10472
250400,06095,06095250400,2504,-122.22371,38.09480
250501,06095,06095250501,2505.01,-122.21363,38.09327
250502,06095,06095250502,2505.02,-122.20202,38.09087
250601,06095,06095250601,2506.01,-122.22458,38.08232
250603,06095,06095250603,2506.03,-122.20878,38.07354
250701,06095,06095250701,2507.01,-122.24277,38.08998
250702,06095,06095250702,2507.02,-122.23712,38.07669
250800,06095,06095250800,2508,-122.31069,38.12549
250900,06095,06095250900,2509,-122.25870,38.10170
251000,06095,06095251000,2510,-122.24858,38.10113
251100,06095,06095251100,2511,-122.23623,38.09700
251200,06095,06095251200,2512,-122.23640,38.10520
251300,06095,06095251300,2513,-122.23574,38.11445
251400,06095,06095251400,2514,-122.23896,38.12392
251500,06095,06095251500,2515,-122.24962,38.11143
251600,06095,06095251600,2516,-122.26095,38.10868
251701,06095,06095251701,2517.01,-122.26457,38.11594
251702,06095,06095251702,2517.02,-122.26871,38.12215
251802,06095,06095251802,2518.02,-122.25650,38.12819
251803,06095,06095251803,2518.03,-122.26628,38.13865
251804,06095,06095251804,2518.04,-122.27723,38.14974
251901,06095,06095251901,2519.01,-122.23728,38.13581
251902,06095,06095251902,2519.02,-122.24423,38.14808
251903,06095,06095251903,2519.03,-122.22638,38.14859
252000,06095,06095252000,2520,-122.17312,38.05985
252102,06095,06095252102,2521.02,-122.11734,38.10004
252103,06095,06095252103,2521.03,-122.19444,38.10479
252104,06095,06095252104,2521.04,-122.16671,38.09294
252105,06095,06095252105,2521.05,-122.18023,38.08038
252106,06095,06095252106,2521.06,-122.16569,38.07602
252107,06095,06095252107,2521.07,-122.15403,38.06895
252108,06095,06095252108,2521.08,-122.16394,38.06077
252201,06095,06095252201,2522.01,-122.16614,38.25384
252202,06095,06095252202,2522.02,-122.14491,38.16479
252305,06095,06095252305,2523.05,-122.09957,38.21851
252306,06095,06095252306,2523.06,-122.06469,38.26544
252307,06095,06095252307,2523.07,-122.07837,38.29606
252308,06095,06095252308,2523.08,-122.02661,38.29895
252309,06095,06095252309,2523.09,-121.97318,38.29285
252401,06095,06095252401,2524.01,-122.05823,38.25344
252402,06095,06095252402,2524.02,-122.06758,38.22505
252501,06095,06095252501,2525.01,-122.04152,38.25441
252502,06095,06095252502,2525.02,-122.04478,38.24702
252604,06095,06095252604,2526.04,-122.05130,38.26421
252605,06095,06095252605,2526.05,-122.03958,38.26545
252606,06095,06095252606,2526.06,-122.02950,38.26543
252607,06095,06095252607,2526.07,-122.02976,38.25425
252608,06095,06095252608,2526.08,-122.02148,38.26629
252609,06095,06095252609,2526.09,-122.00995,38.26706
252702,06095,06095252702,2527.02,-121.97925,38.15824
252703,06095,06095252703,2527.03,-122.02710,38.24851
252704,06095,06095252704,2527.04,-122.01304,38.24885
252705,06095,06095252705,2527.05,-121.99742,38.24793
252706,06095,06095252706,2527.06,-121.98011,38.25655
252707,06095,06095252707,2527.07,-122.00030,38.26030
252800,06095,06095252800,2528,-121.94241,38.26425
252902,06095,06095252902,2529.02,-121.94546,38.36561
252903,06095,06095252903,2529.03,-122.03245,38.43854
252904,06095,06095252904,2529.04,-121.93245,38.40343
252907,06095,06095252907,2529.07,-121.93363,38.32276
252908,06095,06095252908,2529.08,-121.95679,38.34246
252909,06095,06095252909,2529.09,-121.92285,38.34445
252910,06095,06095252910,2529.10,-121.94401,38.34013
253000,06095,06095253000,2530,-121.98119,38.32435
253101,06095,06095253101,2531.01,-122.00632,38.35049
253105,06095,06095253105,2531.05,-121.96698,38.35401
253106,06095,06095253106,2531.06,-121.96597,38.34178
253107,06095,06095253107,2531.07,-121.97901,38.34229
253108,06095,06095253108,2531.08,-122.00114,38.32986
253201,06095,06095253201,2532.01,-122.01143,38.37025
253202,06095,06095253202,2532.02,-121.97894,38.38280
253203,06095,06095253203,2532.03,-121.99675,38.36217
253300,06095,06095253300,2533,-121.80039,38.42294
253401,06095,06095253401,2534.01,-121.84288,38.44297
253402,06095,06095253402,2534.02,-121.81866,38.44329
253500,06095,06095253500,2535,-121.77688,38.20434
301000,06013,06013301000,3010,-121.63150,38.03827
302002,06013,06013302002,3020.02,-121.67720,37.98676
302003,06013,06013302003,3020.03,-121.72094,38.01059
302004,06013,06013302004,3020.04,-121.73803,37.97840
303100,06013,06013303100,3031,-121.67289,37.94091
303200,06013,06013303200,3032,-121.72769,37.93240
304000,06013,06013304000,3040,-121.63540,37.88391
305000,06013,06013305000,3050,-121.83097,38.01591
306001,06013,06013306001,3060.01,-121.79287,38.00713
306002,06013,06013306002,3060.02,-121.76801,38.00864
307101,06013,06013307101,3071.01,-121.81537,37.98676
307102,06013,06013307102,3071.02,-121.81553,38.00070
307201,06013,06013307201,3072.01,-121.84867,38.00241
307202,06013,06013307202,3072.02,-121.82777,38.00382
307204,06013,06013307204,3072.04,-121.83074,37.99486
307205,06013,06013307205,3072.05,-121.83778,37.99053
308001,06013,06013308001,3080.01,-121.79651,37.99199
308002,06013,06013308002,3080.02,-121.76679,37.98858
309000,06013,06013309000,3090,-121.86592,38.03972
310000,06013,06013310000,3100,-121.89140,38.02677
311000,06013,06013311000,3110,-121.89328,38.02168
312000,06013,06013312000,3120,-121.86912,38.01536
313101,06013,06013313101,3131.01,-121.88266,38.00660
313102,06013,06013313102,3131.02,-121.86434,38.00410
313103,06013,06013313103,3131.03,-121.87537,37.98079
313201,06013,06013313201,3132.01,-121.90737,38.01530
313202,06013,06013313202,3132.02,-121.92365,37.99204
314102,06013,06013314102,3141.02,-121.91776,38.03304
314103,06013,06013314103,3141.03,-121.94460,38.03896
314104,06013,06013314104,3141.04,-121.94412,38.02335
314200,06013,06013314200,3142,-121.97362,38.04421
315000,06013,06013315000,3150,-122.02977,38.03259
316000,06013,06013316000,3160,-122.13860,38.02087
317000,06013,06013317000,3170,-122.12658,38.01756
318000,06013,06013318000,3180,-122.15923,38.01533
319000,06013,06013319000,3190,-122.12196,38.00416
320001,06013,06013320001,3200.01,-122.09657,38.02252
320002,06013,06013320002,3200.02,-122.08179,38.00131
321101,06013,06013321101,3211.01,-122.10314,37.98826
321102,06013,06013321102,3211.02,-122.09313,37.97499
321103,06013,06013321103,3211.03,-122.11278,37.96996
321200,06013,06013321200,3212,-122.07150,37.98180
322000,06013,06013322000,3220,-122.07663,37.96182
323000,06013,06013323000,3230,-122.07292,37.95024
324000,06013,06013324000,3240,-122.05888,37.94549
325000,06013,06013325000,3250,-122.07456,37.93529
326000,06013,06013326000,3260,-122.08860,37.93716
327000,06013,06013327000,3270,-122.05330,37.98466
328000,06013,06013328000,3280,-122.03817,37.97545
329000,06013,06013329000,3290,-122.03438,37.99429
330000,06013,06013330000,3300,-122.02683,37.98858
331000,06013,06013331000,3310,-122.01262,37.97613
332000,06013,06013332000,3320,-121.99810,37.98182
333100,06013,06013333100,3331,-121.96402,37.96227
333200,06013,06013333200,3332,-121.98553,37.96881
334001,06013,06013334001,3340.01,-122.00216,37.96294
334003,06013,06013334003,3340.03,-121.98427,37.95058
334004,06013,06013334004,3340.04,-121.97782,37.95516
334005,06013,06013334005,3340.05,-121.99592,37.95489
335000,06013,06013335000,3350,-122.02069,37.96888
336101,06013,06013336101,3361.01,-122.03483,37.96656
336102,06013,06013336102,3361.02,-122.04009,37.96595
336200,06013,06013336200,3362,-122.04686,37.95839
337100,06013,06013337100,3371,-122.01514,37.95713
337200,06013,06013337200,3372,-122.02677,37.95126
337300,06013,06013337300,3373,-122.00804,37.94018
338100,06013,06013338100,3381,-122.04241,37.94422
338201,06013,06013338201,3382.01,-122.03110,37.93135
338202,06013,06013338202,3382.02,-122.04985,37.92124
338301,06013,06013338301,3383.01,-122.01975,37.91993
338302,06013,06013338302,3383.02,-122.01463,37.90680
339000,06013,06013339000,3390,-122.06141,37.90097
340001,06013,06013340001,3400.01,-122.06911,37.92313
340002,06013,06013340002,3400.02,-122.08443,37.91076
341000,06013,06013341000,3410,-122.08362,37.88738
342000,06013,06013342000,3420,-122.05843,37.87714
343001,06013,06013343001,3430.01,-122.04598,37.89305
343002,06013,06013343002,3430.02,-122.03961,37.90344
343003,06013,06013343003,3430.03,-122.02872,37.88658
344000,06013,06013344000,3440,-122.03397,37.85664
345101,06013,06013345101,3451.01,-121.93837,37.73186
345102,06013,06013345102,3451.02,-121.94765,37.74496
345103,06013,06013345103,3451.03,-121.92862,37.73900
345105,06013,06013345105,3451.05,-121.97974,37.79698
345107,06013,06013345107,3451.07,-121.95368,37.79739
345108,06013,06013345108,3451.08,-121.95349,37.77349
345109,06013,06013345109,3451.09,-121.93206,37.76020
345110,06013,06013345110,3451.10,-121.97543,37.74386
345201,06013,06013345201,3452.01,-122.02879,37.81565
345202,06013,06013345202,3452.02,-121.98960,37.77794
346101,06013,06013346101,3461.01,-122.00872,37.88085
346102,06013,06013346102,3461.02,-121.98467,37.86423
346201,06013,06013346201,3462.01,-121.97524,37.84496
346202,06013,06013346202,3462.02,-121.95704,37.81943
347000,06013,06013347000,3470,-122.12123,37.93292
348000,06013,06013348000,3480,-122.13200,37.90291
349000,06013,06013349000,3490,-122.10405,37.88976
350000,06013,06013350000,3500,-122.13914,37.87894
351100,06013,06013351100,3511,-122.06937,37.86282
351200,06013,06013351200,3512,-122.10527,37.86822
352101,06013,06013352101,3521.01,-122.09300,37.84488
352102,06013,06013352102,3521.02,-122.10367,37.81874
352201,06013,06013352201,3522.01,-122.13944,37.85318
352202,06013,06013352202,3522.02,-122.15977,37.82998
353001,06013,06013353001,3530.01,-122.18147,37.85704
353002,06013,06013353002,3530.02,-122.16862,37.87986
354001,06013,06013354001,3540.01,-122.21671,37.88380
354002,06013,06013354002,3540.02,-122.18216,37.90318
355101,06013,06013355101,3551.01,-121.78202,37.97497
355104,06013,06013355104,3551.04,-121.80301,37.81938
355106,06013,06013355106,3551.06,-121.83671,37.93450
355200,06013,06013355200,3552,-121.97606,37.99714
355301,06013,06013355301,3553.01,-121.97008,37.93667
355302,06013,06013355302,3553.02,-121.99461,37.92111
355303,06013,06013355303,3553.03,-121.92534,37.89170
355304,06013,06013355304,3553.04,-121.92784,37.95040
355305,06013,06013355305,3553.05,-121.93426,37.93253
356001,06013,06013356001,3560.01,-122.22812,38.02450
356002,06013,06013356002,3560.02,-122.20192,37.95705
357000,06013,06013357000,3570,-122.20299,38.04046
